Anlc mlsai iu cigwa kro'tickutamiwat. Anlc misai ||| Therefore such was how they there came into posses sion of fire.
Nanabucu ajiklgitut: "Mlcigwa wi^Iwayan." Mlgiri'man, wanimo'k, wantcicagunat (ici/u uglco'ta'irna8. Ajisaga'a'nk, pacux ani'a'yat. ||| Truly, the woman filled up the bowl.
i'i7-11 alkitut laca/u inini : "Ambasino, kagu iciwi'tawa'kag lisi/u uglco'ta'u'na 'aca/u Nanabucu. " ||| Nanabushu then began eating. When his desire for food was quite appeased, then he ceased (eating).
Mlsa kaga't kawln iciwltawasl. Cigwa Nanabucu kwl- ||| "Is that all you are going to eat?"
nawlpi'u- tciblciwltawint. Aciplpagit : "Nlwunitcigagima !" ||| "And how am I to force (myself) to eat (more)?"
"Manu, iciwitawi'k ; wasa undcra'pagitawi'k 48i/u uglco- ||| "Nanabushu, therefore then do you take back to them at home the rest of the cooked food. Perhaps to your children do you take it home."
Cigwa owabama kwlwisansa8. "Icta, pacux picayu'k ! Mlnangwana iu acipa'kadaya'k. Kawln nlmpa'kudasl. ||| Nanabushu then spoke, saying: "It is now time for me to go back home." And so, when no one was looking, in under the mat he pushed his mittens. When he went outside, then near by did he tarry.
Kaga't, Nanabucu wlwan utonagoton 'isi/u nipi. "Anigu'k pagitinisan, wawip taxwanso a11 a'kik." Taya, ||| And this was what the man said : " Please do not carry to Nanabushu his mittens."
magwagu namadapit Nanabucu undcipasingutcisa nondagusit : "Kwank, kwank, kwank!" inwat Nanabucu. Kistciwl'ka ajikackru't iman mita'kupitciganing Nanabucu. Kawanagosit iman mi'ta'kupitciganing, anigu'k kintcitanamu anuwl'kwatcimlslt •, ubwanawi'ton. Ningutingigu umisa'kutcan ajipangisinini't i'i'ma0 a'ki'kunk, ugandnan wlwan : "Mlnotc! ana-a-n." ||| And so, truly, he did not have them fetched to him. Already was Nanabushu becoming tired of waiting to have them brought to him. Then with a loud voice he called :
Ajiklgitut awi'kwa : "Acamadci, madci anim ! kigagwanisagi'a- lasa/u kita'ki'kunan ! Intawa ajipimipasigwlt awilkwa, pimipina'°'wat !ni/u a'ki'kwan ; pana agwatcing icat awislgwapinank lisi/u nibi. Kaijikisiyabi'kinat Ini/u uta'kikowa, piplndiga a'i-'kwa. Nanabucu tayoc agos pimita'kupitciganing ; kawln kacki'o'sl anawlnlsantawat. Ajikanonat wlwan: "Kawasa ningacki'O'si anawinlsantawayan." ||| "I have forgotten my mittens!" He was not harkened to. Then with a louder voice he called. At last, "Well, go take them to him; from afar do you throw him his mittens."
Cigwa wipa'kita/u-nt Nanabucu, migu iwiti wantcipisut ; pi*a-nigwackwanit, mlsana kinogabamint Nanabucu. ||| Presently he saw the boys. " W7hy, come you up close ! And so it is a fact that you are without food. I am not hungry. To-morrow let your father come over exactly at noon." Thereupon away then went Nanabushu. When he was come at where he lived, truly pleased were his children to have food to eat, so the same with his wife; thoroughly were they satisfied with food. On the morrow he then waited for his guest, he waited for him at noon. Soon he was come. When he was seated, "What have we to feed the guest? Anyway, hang up the kettle."
A'tawa ! aba'pic kinanamadapi plwita. A'pidci wiwisini, midac ajikigitut : "Taga, mlnotc anagoc au kita'ki'kowa." ||| To be sure, the wife of Nanabushu hung up the (kettle of) water.
Kaga't, a'i^'kwa udagonan Iniyoda'ki'towan ; cigwasa onsowan. Kunigimn, undcipasigwa-o'wan, kayagu nontagusinit : ||| "With much wood do you build up the fire, soon let
"Kwank, kwank, kwank, " inwanit:. Mlsa' aciponlnint iiman pimita'kupitciganing pa'kic nondagusinit : "Kwank, kwank," inwanit. Mlslwan ajikanonigowat : "Mlnotc! ana/a'mu'k." ||| the kettle boil." Aha ! now, while Nanabushu was yet seated, up he sprang, being heard to say: "Kwank, kwank, kwank!" (such) was the sound Nanabushu uttered. It was a great while before Nanabushu was able to mount the cross-pole (over the fire). After he was perched up there on the cross-pole, then with much effort did he grunt in vainly trying to ease himself; he could not do it. But when by and by a lump of solid dung dropped into the kettle, he addressed his wife, saying: "Never mind! but keep it stirring."
Mlsa^tawa saga'a'mon Ini/u uplwitamiwan. Mlsa7 cigwa wlsiniwat Nanabucu. ||| Then said the woman: "Mercy sake, vile dog! you will simply ruin our kettle." Accordingly, to her feet the woman quickly rose ; immediately down she took the kettle ; straightway out of doors she went on her way to empty out the water. After she had cleansed their kettle, then back inside came the woman. Nanabushu was still perched upon the cross-pole (over the fire). He was not able by his own efforts to climb down. Then he spoke to his wife, saying: "Not at all am I able, in spite of my own efforts, to climb down."
Wayabaninig mlnawa anukiyusa, mlsa'irndcita kawln kago uni'tosln. Mlnawagu animadca ; mrirntcita kawln kago ani'tosln. ||| Truly very angry was the woman, she was in search of something to use for a club •, the woman presently found a stick. While Nanabushu was perched up there, the woman said: "Look and see! for I am going to club him to death who eased himself in the kettle."
Kaga'pi ajikigitut wlwan: "Kaga't klgo'patis. Awacima intawa kistcikro'tayan ; miya'ta ka'i'ciwlsiniyangiban, mlya'ta tciwabaniciyank." ||| When Nanabushu was about to be struck, then from yonder place he fell ; he leaped down when she made as if to hit him.
Kigicap ajimadcat Nanabucu. Kumagu a'pi tagwicink, saga'i'gan owabandan. A'I'nabit, awlya owabaman pabamataga'kunit. Ani'i'cat, owabaman Ininiwan. "Taga, kaniwldclwin wrkiwayan." Cigwa owabandan wlgiwam ; anipindigawan kaya win ka'U'nabit owabaman i'kwawan tacimackimuta'kanit. Nanagagu cigwa kanonimawan : "Taganax, agoc 4aea/u a'ki'k." ||| Alas! without cheer there sat the guest. Very anxious was he to eat. Whereupon he said: "Now, forget every thing and hang up your kettle."
Kaga/t a'i-'kwa a'ki'kwan otonagonan. Ka'klcrtat, panimagu namadapinit undcipasigwa'5'wan, abaclng apagisowan nondagusiwan : "Kwu, kwu, kwu, kwu !" inwawan. Mmangwana maman watisat. Cigrwa. ka'tao-wicininit iwiti sowaga- ||| Truly, the woman hung up their kettle ; presently it began boiling.
Anlc, mlgu mmawa iu kiwawanabinit ini/u i'kwawan mackimuta'kanit, kigitunit Ini/u : "Wagunacina kaya'pabo- ||| At that moment up flew (the guest) from his place, and
Kunigimn, uga^a'kasiyabi'kinan i*i'u mo'kuman. Kunigimn, acimatagwacabinat mi/u wiwini, kuniguca pi'kwananing acimaticwat, kumagu mini'k uba'kwacwan. Ka'palkwacwat, mldac H<u usi'kon acisinagwunamawat Iman ||| 42. NANABUSHU AND THE WOODPECKER^
A'tawa, mldac kaga't Nanabucu minuwisinit! A'piclci ka'tawlsinit, mri/<u aci'a'nacl'tank. Mlsa/ mlnawa ajikanat ugico^a'u'na8. "Mri-/u madcayan kiwayan." Nanabucu ina : "Migiri<u tciglwawitau." ||| was heard saying: "Kwank, kwank, kwank," (such) was the sound he uttered. Thereupon he alighted yonder on the cross-pole (over the fire) at the same time that he was heard saying: "Kwank, kwank," (such) was the sound he uttered. By him while muting were they addressed : " Never you mind ! only do you keep it stirring."
Mlnawa, kumagu a'p! anitagwicink, pipagi Nanabucu : "Kiwanitcigagima!" Kawm anutabwa'tawasl. Ackam anigu'k pipagi, kaga'pl, "Manu, icivvltawi'k Nanabucu uglco'tauna8." ||| Thereupon, truly, as they kept it stirring, how wondrously full the rice filled (the kettle), and how dry it cooked !
Kaga't kwlwisansag uticlwinawa. Anlc, wasagu utaca'pagitawawa ajikanonat : "Nictcimictca, pacugu plcayu'k, ||| "Now it is time to take it off (the fire)."
Klpa'katamawasa klnawa. Wabank kosiwa tablca, nawa'kwag ugapinatin kamitciyag." Misa' ajiklwat Nanabucu ka'tagwicink antawat, mlsana minawa wlsiniwat. Mlwlnrru krkanonat wlwan : "Nackana! mackimuta'kan." Ajikanonigut Nanabucu wlwan: "Intaska minawa iu awlya kago klcinawawatan. Atatagwacaku kimanici ickwa'kamik kltotanziwan !" ||| Truly off the fire the woman took it.
Nanabucu ajiklgitut : "Manu! mackimuta'kan." ||| And so with disappointment forth from the place went their guest. Whereupon then did Nanabushu (and his family) eat.
"Wagunacina ka'a'batci'toyan i'i*u tcimackimuta'kayan?" Anic, wlgublc udayan a'i^kwa, mlsana iu wanabiginank. ||| 42. NANABUSHU AND THE WOODPECKER. l
Anlc pabi'u't Nanabucu. Cigwa nawa'kwanig tagwicinon Ini/u ininiwan. Pa'plndiganit, " Wagunacina ka-i'cangayang?" Nanabucu piwabi^kuc uglkaciboton. Ka'plndiganit, Nana bucu pasiguntcisa. uKwu, kwu, kwu, kwu!" inwat. Acicisitot ublwabi'kuni ima11 ucingwanank, cigwa a'kwantawa. Cigwa iwiti kacki'o- tisawaganing. Cigwa uba'kra/n utaballjlwa8. A'tawa! wantagu kaga't wasa ina'kwitcit pangicink, atcuan!" inwawacin Nanabucu. ||| On the morrow he went on another fruitless hunt for game, and it was just his luck not to kill a thing. An other time he set out ; but, as ill luck would have it, he did not kill a thing.
A'tawa ! unawatinan abiwita. Manu, intawa uwrkubitawan iu plwabi'k. PangI win gu kanaga miskwri'wan, kaslyabanawat miskwiwinit. ||| At last then up spoke the woman: "Really, you are of no use. It would therefore be much better for you to go on a visit among (your friends); for only by such means shall we obtain food to eat, only in that way shall we live through the winter."
Nanabucu cigwa anipaga'katisi ajiklgitut: "Manu gu, mackimuta'kan !" udinan Tni/u wlwan. ||| In the morning then departed Nanabushu. When some distance away he was come, a lake he saw. While looking around, he saw somebody walking about on the ice. When he started hitherward, he saw a man. "Pray, let me go with you when you depart for home !" Presently he saw a wigwam ; when in the other went, so then (did) he. When he was seated, he saw a woman busily making a bag. After a while she was then spoken to: "Please hang up the kettle."
Anlc, kaga't madci'ta 'a8a/u i'kwa mackimuta'kat. Mri'u cigwa kl'U'ta'pinank iu mo'kuman, cigwa umanibitawan 'isi/u ||| Truly, the woman arranged (the kettle) so as to hang. When she had finished, then of a sudden he that was seated flew up, a-lighting yonder on the lodge-pole, (and) could be heard saying: "Kwu, kwu, kwu, kwu!" such was his cry. It happened to be the Red- Head that he was visiting. Now, when (the Red-Head) was come at the meeting of the lodge-poles, he then began pecking. And after a while some corn came pouring into the kettle there, whereupon full of it became their kettle. Down he came hopping ; and when (he was come), then back again (was he in) human (form).
ubablnsikawaganicini. Acimaticwat pi'kwananing, panagu nondagusinit a'pitci uwlsagicwan. "Pisan! ml guca'ku iu antotaman wa'klga-rwayan." ||| Well, and so another time was the woman seated, making her sack, when she said: "What shall we put (into the corn) for seasoning, or shall it be just so?"
Medac acikanonigut plwitan : "Pa'ka! kanabatc klganisa ||| Lo, he now wiped the blade of his knife. Behold, when he uncovered his wife, plump on her very back he then began slicing her, rather large pieces he sliced off. When he had done with carving her, he then rubbed his spittle over (the place) where he had carved her. And then into their kettle they put the meat to boil. Then their kettle began boiling. Now, after the food was done cooking, then out she dipped it ; and in front of Nanabushu, that he might eat, she placed (the meat) and the corn.
cumint Ini/u wlvvan, acipota'kwa'a'minit iman uda'ki^kowang. ||| Oh, but Nanabushu truly had a pleasant time eating! After he was quite satisfied with food, he accordingly ceased eating. And then again he hid his mittens. "Now I should start back home." Nanabushu was told: "Therefore do you take them home (some food)."
Mlnawa, pasigwa'u'nit iman tiso'a'ganing, midac iman mati- ||| Again, after some distance he was come, out called Nanabushu: "I have forgotten something!" But in vain was he not listened to. Louder still he shouted, till finally, "Well, then do you take to Nanabushu his mittens."
'kwa'i'ganit. Nagatcigu mandamina8 pisigibisowa8, uta'ki- ||| To be sure, the boys took them to him. Now, from afar were they throwing them to him, when he said to
'kowang i'i'ma acislbigisunit. Kamockinanit ini/u uda'ki- ||| them: "My little brothers, up close do you come. You must be hungry. To-morrow let your father come over, at noon let him come to get some food for you to eat." And so it is said that when Nanabushu was come at where they lived, then the poor things ate again. There upon he spoke to his wife, saying : " Now, come and make a bag!" Then was Nanabushu answered by his wife saying: "No doubt but that you have again seen somebody doing something. Oh, how you make me ashamed in your trying always to do everything !"
Mlsa'i' pinawitcit (agatag).1 ||| Nanabushu then spoke up: "Never you mind! just you make the bag."
Anipapimusa kiwan Nanabucu ; magwagu kiwa papimusat oglwabandan slbawasaya'kwanig. Awagwagi, kiwan papa'kira'nk, awagwagi kiwa 48i/u a'ki kagwanisagiunicicinini. ||| "Pray, what shall I use to make the bag?"
"Ac, Nanabucu, crcrma pacu' mina'kwa aya, mrrma acayan, ninda-u'piji'ki'ka." ||| Now, some bast did the woman have, and so with that she began weaving (a bag).
Misa cigwa madcawat. Kagwanisa mistcani kiwan wiskwa1 cayagwansonit; mlgu kinwan ima pasanagitiyanit ti'tibisanik. Sagatciwawat kiwan ima ucadinanik ajijagasklnit. "Nana bucu, cayigwa ima nisa'ki piji'kiwag pimawanitiwag." ||| In the mean while waited Nanabushu. When it was noon, then came the man. When he entered within, "Pray, what shall we offer (him) to eat?" Nanabushu sharpened an old piece of metal. After the other had come in, Nanabushu then sprang up. "Kwu, kwu, kwu, kwu !" was the sound he uttered. When he placed the metal into his nose, then up he climbed. Presently he was able to reach the meeting -of the lodge-poles. Then he pecked at their lodge-poles. Alas ! right straight in for a long way it truly entered. When he dropped, "ten!" was the sound Nanabushu made.
Sagatciwawat klnwan klnlbawiwan Ini/a ininiwan-, klcingicinon klnwaa !ni/u piji'kiwan. Anlc, mlsa krtrdisawat ima. ||| Poor thing! him the visitor grabbed. However, he then pulled out the metal. And (he saw that Nanabushu) had nevertheless bled a little, (whereupon) he then washed him where he was bloody.
" 'A11, amba ningwis, pindigan <y<rma." Mlsa' klplndigakwaskunit ima wlskwang, "Anlc, Nanabuc, mlsa cigwa tciwlninutcigayang." Migu iu kinwan wa-rcimadandciganit klgaski. ||| Nanabushu was now becoming conscious when he said : "Never you mind, but make the sack!" he said to his wife.
"Ta, niclm ! kidagabacimanansa !" Ajikanonigut : "Wagunac, Nanabuc, kayabatci'toyang tcigabacimang ?" ||| Now, truly the woman started upon the work of making the sack. Then, when he took up the knife, he began
"Niclm, mnganana a'kik." A'pana, klwan, a-irsadciwat ima ucadinanik. A'kikon uglpita'kunan Nanabucu. ||| removing her old jacket. When he began carving her at the back, straightway she began to be heard (crying aloud). Very painfully did he hurt her with the knife. "Hush! for this is what I always do whenever I wish to entertain."
"Ninga'irji'ton, niclm." ||| Then was he addressed by the guest saying: "Stop! perhaps you will kill your old woman. Therefore fetch hither the knife." When (the visitor) sliced off a piece from the wife of (Nanabushu), he put it into their kettle to boil. Next, flying up to the meeting of lodge-poles, (the visitor) then began to peck. After a while some corn came pouring out, into their kettle it poured. After their kettle was full, then did Nanabushu eat. "Now I am going home."
Kl'u-ndcipa'kwanani kinwan, iu ickuta ima. Anlc, mlsa ||| Whereupon the buttocks of the ruffed grouse (hang aloft).1
mlgu kinwan ani'a^koglzisunit ani'a'gwacimawat, kayagu ||| On his way, they say, was Nanabushu walking •, and it is said that while walking about he beheld a vista opening out through the trees beyond. Really, so the story goes, when he broke through into the open, why, they say (what he saw) was a country marvellously beautiful. "This is a plain," he said, so goes the story. A ridge of high land, they say, lay exactly in the direction he was bound. W^hen he got there, it is said that yonder on the ridge he stood for a long while. Indeed, according to the story, there could be seen ridge (after ridge) as far as he could see. Well, it was while walking along, as he went up the hills and down again, (that he saw) a man, so it is said, walking hitherward ; he then must have run round to head him off, when he intercepted him. When he came out
anipoda'kwawat. Mlsa klglziswawat ka'kina. ||| upon the summit, they say right there he met him. Naturally, when (Nanabushu) was observed, then the other halted, standing in his place. Well, it was there that (Nanabushu) got to where he was. In a while he then spoke to him: "(So) you are journeying about, my little brother."
u l Au, ningwis, amba, saga'a'm^k tciwisiniyak." Caylgwa kinwan, ininiwan sagatcikwaskwaniwan. Alpidci klwan wawlnga nlmi'tanawawan Nanabucu agimat. ||| "Yes, Nanabushu, over here, near by, is a clump of trees (on the plains), and it is thither I am bound ; I am hunting for buffalo."
Udasina'kan, klnwan, ackwantamawintwanin. ||| "Why, my little brother, so am I! Over here, not far away, is a clump of trees, and it is there where I am going for buffalo. Well, my little brother, I will go along with you. Not till at yonder place after a while will I part company from you." Then he was addressed by the other saying : " All right, come along, Nanabushu ! let us be going !"
Anlc misa' klkitanawawat kaya wmawa. ||| Thereupon then were they off. Amazingly big, they say, was the bladder (pouch) which the other had dangling from his belt ; indeed, they say it tossed, whirling about over the top of his crotch at the back (as he walked along). When they came out upon the summit of the ridge, they say the other suddenly crouched down (to the ground). "Nanabushu, already yonder at the foot of the hill are the buffaloes trailing along."
Migu iu klnwan ima iji'tat kagwanisa mangimigatini kPwa11 wlskwa1 ta'kunaminit. U'AU, ningwis! nlctana saga-a/mu'k." ||| WThen they turned about on their way back, "My son, now, one of you should shoot a buffalo, for then we can have something to eat." l
Misa nlctana kisaga'a/minit. " CAU, amba, plndigak, ningwis!" Ga'kina kigimi'tigwabiwan. ||| Then suddenly, they say, out leaped a man from his place in the bladder (pouch), and away he went running down the slope into yonder valley. And all at once, they say, from over the top of yonder ridge came a buffalo along; it was in flight.
"Ambasano, Nanabuc, ayangwamisin ! Kini'tababini'tam. Taga, kagux katciba'kwayanin, tagandankan kmi'tam." ||| When they came out upon the summit, they say, there stood the man ; there lay, they say, the buffalo. Well, accordingly (he and Nanabushu) came to them over there.
"15 "Anlc, mlsagu kaya km a'pana kago kigaki'tcipisun. Nanabuc, kita'i'man ka'kina klzi'kan." ||| "All right, come along, my son! do you enter into this." And so when (his son) leaped into the bladder pouch, "Well, Nanabushu, therefore now will we dress the meat." Accordingly then, they say, did he wish to begin eating the meat raw.
Anlc mlsa ka'kina klglsi'kank Nanabucu uda'i-man. atAu, ambasa, Nanabuc! madcata !" ||| "Why, my little brother! we should cook it by boiling!" Then he was addressed by the other saying : " What, Nanabushu, shall we use to boil it in?"
Ajimadcawat. Taya! wandagu kiwa anra'yabanabandank kati'tibisanik ima pasanagitiyat. Anlc, ml klnwan, anipa'kawinitiwat. ||| "My little brother, I will go fetch a kettle." Away, they say, then went he over yonder ridge. With a kettle in his hand, back Nanabushu came.
Caylgwa Nanabucu sagatciwat ima piji'kiwan klpimawanitiwan, pimitanantciganit. Aji'a-caklwat. u ' Au, pajiksana, nindojimitug ! uta/u'pimwan piji'kiwag ima pimawanitiwag." ||| "Now, where is the fire, Nanabushu?"
Sagitcikvvaskwaniwan klnwan pajik udociman ; pana iwiti ajipasatinanik ani'a-'pa'tonit. Wibagu klnwan sagatciwa- ||| There was a sudden lift of smoke, they say ; the fire was there. Well, so then next for water Nanabushu went, whereupon he fetched water. And then they cooked the buffalo in a kettle ; not all of it (at one time) they cooked in the kettle. So thereupon, they say, just as fast as it was done, then forth from the kettle they took it, and then some more they put in to boil. And so they finished cooking it all.
kwaskwaniwan piji'kiwan iwiti ucatinanik. Mayatcagwanltug Nanabucu ; sagatciwat, uglnlbawi'tawanini piji'kiwan udociman. Misa klwudisat. "'A11, amba, nindojim ! plndigan ima andayag." ||| "Now, my sons, hither come you forth, that you may eat."
u Niwanra'gsa nindocimag !" " Kiglninawatclna mlnawa ?" ||| Presently, they say, the men came leaping out. Exactly forty in all, they say, was what Nanabushu counted them (to be).
"Kawmina tcigltangataman iu kanawatclyag ? ||| "Nanabushu, not till after (they have) finished will you and I then eat."
" Kawln, kigitarigandansagu tcibwamitciwat." " Kitagwicinogsawln oma ka'kina. Niclm, taga, awi'i'dn mlnawa !" ||| "Nay, Nanabushu, we shall really have some saved for us."
"Kawin kita'a-wi-i'sinon mlnawa." ||| The chest, they say, was saved for them.
Nanabucu Itug kwayaskwanutamugwan i wlskvva1 wlma'kamat ; a'ta ! wandagu, klnwan, amon kawanitclsamigut. " Ya, ya, ya!" 1 Wandagu kiwan kapabacacagawikanapagisut. Udacipaji'kukagon 3 nimitana amon, misa klponrrgut. Ki'tci-a-mowasiswan kinwan ima kl'a-'tani. Nanabucu, itug, ningutci ajimadcagwan. Ajikigitut: "Acimadcl win wawiyac ningitotagok amowicag!" ||| So thereupon they ate up all (their share) too.
Misa1 a'kosit. ||| "And so, Nanabushu, have you a bladder (pouch)?"
Ninguting a'i'ntaawag wlgiwaming Nanaboju osani, ||| "Certainly, my little brother, I have one."
wat; mi'tigvvabln odabatci'a-wan pimwawat awaslan -- pina- ||| Accordingly, they say, on his reaching to feel for it, a tremendously large rounded bladder, they say, was (Nana bushu) holding in his hand. "All right, my sons! twenty of you come out."
wan, clciban, nfkan, anotcigago oni'tonawa. Kinwanj ki'ta- ||| "Now, come, do you go inside,2 my sons!"
wag iman. Kaga'pi Nanabojo odinan osan : "Nose, ningamadca." ||| All of them had bows and arrows.
Madwa gigito i'kwa : "Pmdigan!" i'kido. Ka/rjipindigat Nanabojo, owabaman i'kwawan mnj kayii ||| "I beseech you, Nanabushu, do you be careful! You are not good at giving heed. Now, do not, when you have finished cooking, taste of the food first."
abinotciya8. Pkwa ogioda'pinan mi'tig; i'kwa upa'ki'tawan ||| "Why, my little brother! I would not do (such a thing). Not till the very last will I ever eat."
o'kading, mamackut. ||| "Now, therefore, shall you always have something for a girdle. Nanabushu, all your clothes do you now take off."
"Kagu7, kagux !" i'kido Nanaboju. "Ningantawandciga," ||| "Now, then, come along, Nanabushu! let us be going!"
i'kito Nanaboju. Medac ka'ijinisat unltcanisan bajak, mri'dac ka'i'ji'o'ci'tod ku'ka'a'wan, klngon ku'ka'a'wan, ||| Then they departed. Ah! it was a sight, they say, as he went along looking behind at the bladder (pouch) that rolled about over the upper part of his crotch at the back. So then, it is said, they separated, each going his way.
mbiwa gaya wlgup plmana'kwan, migiskanan gaya. Midac ||| When Nanabushu came out upon yonder summit, (he saw) the buffaloes go trailing by, feeding as they went. Then he retraced his way. "Now, O my nephews! let one of you go shoot the buffaloes that are trailing along over there."
gru ci'tod ubimiwanan. "Ki'tcigitcigamlng ningabagitabi. ||| It is said that out leaped one of his nephews ; away he went running down the slope into yonder valley. Then,
Nisagwa klngonyag mngabinag, tciwisiniwad abinontci'a-g. ||| in a little while, it is said that upon the summit of yonder ridge came loping a buffalo. Nanabushu must have departed thither ; (for) when he came out upon the summit, there was his nephew standing beside the buffalo. Thereupon he went up to where he was. "All right, come, my nephew! enter in where you (and the rest) stay."
Nanagonaga'k ningatagwicin." ||| Well, of course it was then that Nanabushu began dressing the meat. After finishing his work on (the buffalo), he then built a fire ; then he went to fetch a kettle. Well, and then he came back ; presently he had the buffalo cooking in the kettle. Accordingly, as fast as it was done, he took it out, and put in some more to boil. So there upon he finished cooking it all. "Now, O my nephews! come, do you eat."
A, ki'tcipimipa'to Nanaboju! Mlnawa bibagi : "Pa'ka, pa'ka, nltci ! Prrcln a'kawe, klwi'kanonin !" ||| It was perhaps but a small piece that he pulled off to put into his mouth. His nephews then began eating, but they ceased eating in a little while. Thereupon Nana bushu then began eating too. Well, and then Nanabushu had all he wanted to eat. "All right, come along, O my nephews ! do you enter in where you live."
Kaga'pi krkibitcigapawi. ||| Whereupon, when they went in, then departed Nanabushu. There was somewhat of a noise at Nanabushu's buttocks, (made by) his nephews, who evidently were engaged in zealous play. And so, as Nanabushu went along, by and by his nephews ceased their noise. As he came out upon the summit, it is said the buffaloes went trailing by. Then he must have withdrawn. "Now, O my nephews! let one of you shoot a buffalo." But from none was he given answer. When he took off his belt, there was no one of his nephews (left). Away started Nanabushu, evidently on the run, to find his little brother. As he ran out upon the hill-top, they say hither came walking his little brother. And so of course it was there that he met him. "What (is it), Nanabushu?" he was tolcl.
"Anm ajini'kadag?" ||| "Why, I have lost my nephews!"
" Kici'kidigwanicing." ||| "Did you have another bite to eat?"
"Wa!" Nanaboju i'keto, "mri'wide gaya nm ijayan." ||| "Did you not first taste of what you (and the others) had to eat?"
'A, Nanaboju i'kido : "Klgawldclwininim. Wagunan nandawabandamag ? Kaya nln mri'widi ajayan." "Nibinung krki'o'sawag kidocimag ; nlbiwa awaslyan oginisawan ; mldac nlbiwa wiyas pa'tag pimita gaya mldac klasandcigowad ; mlwanjiicayang. Mlnawadac, wikiwusawag kidocimag." Mi'i/>u a'kidot lasau a'kiwa^simaTngan. ||| "Nay, but you really did taste it before they ate."
"Wa," Nanaboju i'kido, "Klgawldciwlninim." "A, kawin !" i'kido a'kiw^sima'rngan. "Kawin kldatibi'a'sig kitocimag." ||| "They have really all got here now. My little brother, come, do let me have the use of them again !"
" 'A8a, manon ! Ningabimiba'to gaya nln." "Amc, bocka kin." ||| "I would not let you have them again."
Ajimadcawad rnaTnganag pimipa'towad. Ani'ku'piwat ododa'pinan obimiwanan ogra-'pagiton mi'tigong. "Pi'kwandagag ta'i'cini'kada tci-a'i'na'kiwang." ||| Nanabushu doubtless made a grab for the bladder to take it from him ; but oh ! at that instant, they say, by the bees was he stung all over. "Ya, ya, ya!"1 How they say he did wriggle at the back when down he fell. He was harassed by one 2 and forty bees, and then he was let alone. A large beehive they say was there. As Nanabushu, without doubt, was starting off somewhere else, he then said: "Well, by jingo ! I have been played a trick by the wretched bees."
Mldac glmadcawad. Monjag plmipa'towag ma'rnganag, ||| And that is as far as (the story) goes.
Nanaboju gaya win gi'tcipimipa'to. Mlnawa bejik saga'rgan omadablnawa ; kwaya'k nawa'kwam krijawag. ||| Once on a time in a wigwam dwelt Nanabushu's father, Kwasind, with his wife and two youths, Nanabushu and also Panini. Often they went hunting, (and) game they killed; bow and arrows they used when they shot at the game-kind, — at ruffed grouse, ducks, geese, — and various kinds of them they killed. A long while they tarried there.
Anlcinabeg Ima tawag, owabamawan maTngana8. " Hehe, naska maTnganag pamipa'towad ! Nlwiwag, nlwin !" ||| At last Nanabushu said to his father: ttO father! I am going away."
Mlnawa blpagi anicinaba : "Anm ejinagusicl bajik ma'l'ngan? kawingagu osowasi !" A, pa'piwag anicinabeg! "Skamldog Nanaboju!" ||| "Where do you expect to go?"
Kwaya'k klmadcawag. A, aja aya'kusi Nanaboju! A'pidac wranagucig kfkabeciwag. A'pitci ajikisinag tcigiblg saga'i'ganing mri'ma kl'kabaciwad. Kawmgago skude. Pang! klmuni'kawag koni'kang, mri'ma klkawlcimowad. Gaya win Nanaboju pangl klmoni'ka koni'kang, mima glka1 5 wicimud. A'pitci aya'kusi, alpitci kaya kiabwasu, klki'tcipimi'pa'tot. Kawln okaskitosin tcinipat ; caylgwa klgatci, ki'tcigl'katci. ||| "I want to go upon a journey."
A'kiw^zima'rngan oganonan ogwisisan. "T^ga, awi pacig ki'konas." ||| "If it be your pleasure, then go on."
idac ning-utci krrnanowa pagizu. "Nongum ku'ca animwanu kititan." ||| Nanabushu then started away • everywhere he went, his bow and arrows he took along. Of the various kinds (of game) he killed he ate. So once on a time a wigwam he saw, whereupon he took his arrow (and) with it was heard knocking on the door.
A ! midac mlnawa klgl'katcit Nanabuju. ||| The voice of a woman called: "Come in!" she said.
Pidclnagigu padabung, madwabasigwiwag ; madwababawlwag. Medac glmadwamadcawad, a'kiwanzimaTngan glgito : "Amba, Nanabuju, uniskan! Aja glmadcawag kidocimag." ||| After Nanabushu went in, he saw a woman and two children. The woman picked up a stick; the woman struck them on the leg, first one, then the other.
'tcibimipa'to Nanabuju kabaglcik. Minawadac wanagucig ||| "Don't, don't!" said Nanabushu. "I am going off on a hunt for game," said Nanabushu. And so after she had slain one of her children, he then fixed up some bait, some fish-bait, and also a large amount of linden-bark twine, and some hooks. Thereupon he made up his pack. "In the sea I am going to lay a line of bone hooks. The fish I kill I will fetch home, that the children may eat. In five days I will return."
'tam klmicoma'i'wa oga'O'nabandan anindi tcigabaciyang." ||| Thereupon he started away. The first time that night came on, there he stopped to camp; he slept. And then in the morning he started on ; straight towards the region of the north wind he went. In the morning, before it was noon, he came out upon a lake. He saw three Wolves running along ; he gazed at them. Oh, then out cried Nanabushu : " Hey, hold on, my friends ! Wait for me!"
Midac uskinawama'rngan : "Unabandan anindi tcigabaciyang." ||| The Wolves spoke one to another, saying: "Why, that is Nanabushu !" One was an old Wolf, and two (other) Wolves (were) his sons. "Don't, don't you speak to him! Keep on going, keep on going!"
